,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
113,7674,0,0,0,1,0,0,0,1,0,0,0,0
114,7860,0,0,0,1,0,0,0,1,0,0,0,0
115,7903,0,0,0,1,0,0,0,1,0,0,0,0
116,8027,0,0,0,1,0,0,0,1,0,0,0,0
117,8072,0,0,0,1,0,0,0,1,0,0,0,0
118,8085,0,0,0,1,0,0,0,1,0,0,0,0
119,8155,0,0,0,1,0,0,0,1,0,0,0,0
120,8170,0,0,0,1,0,0,0,1,0,0,0,0
121,8207,0,0,0,1,0,0,0,1,0,0,0,0
122,8263,0,0,0,1,0,0,0,1,0,0,0,0
123,8310,0,0,0,1,0,0,0,1,0,0,0,0
124,8346,0,0,0,1,0,0,0,1,0,0,0,0
125,8347,0,0,0,1,0,0,0,1,0,0,0,0
126,8394,0,0,0,1,0,0,0,1,0,0,0,0
127,8452,0,0,0,1,0,0,0,1,0,0,0,0
128,8523,0,0,0,1,0,0,0,1,0,0,0,0
129,8539,0,0,0,1,0,0,0,1,0,0,0,0
130,8585,0,0,0,1,0,0,0,1,0,0,0,0
131,8627,0,0,0,1,0,0,0,1,0,0,0,0
132,8641,0,0,0,1,0,0,0,1,0,0,0,0
133,8708,0,0,0,1,0,0,0,1,0,0,0,0
134,8779,0,0,0,1,0,0,0,1,0,0,0,0
135,8890,0,0,0,1,0,0,0,1,0,0,0,0
136,9037,0,0,0,1,0,0,0,1,0,0,0,0
137,9117,0,0,0,1,0,0,0,1,0,0,0,0
138,9150,0,0,0,1,0,0,0,1,0,0,0,0
139,9285,0,0,0,1,0,0,0,1,0,0,0,0
140,9293,0,0,0,1,0,0,0,1,0,0,0,0
141,9402,0,0,0,1,0,0,0,1,0,0,0,0
142,9404,0,0,1,0,1,0,0,0,0,0,0,0
143,9558,0,0,0,1,0,0,0,1,0,0,0,0
144,9716,0,0,0,1,0,0,0,1,0,0,0,0
145,9742,0,0,0,1,0,0,0,1,0,0,0,0
146,9783,0,0,0,1,0,0,0,1,0,0,0,0
147,9851,0,0,0,1,0,0,0,1,0,0,0,0
148,9861,0,0,0,1,0,0,0,1,0,0,0,0
149,9998,0,0,0,1,0,0,0,1,0,0,0,0
150,10310,0,0,0,1,0,0,0,1,0,0,0,0
151,10336,0,0,0,1,0,0,0,1,0,0,0,0
152,10432,0,0,0,1,0,0,0,1,0,0,0,0
153,10509,0,0,0,1,0,0,0,1,0,0,0,0
154,10615,0,0,0,1,0,0,0,1,0,0,0,0
155,10709,0,0,0,1,0,0,0,1,0,0,0,0
156,10725,0,0,0,1,0,0,0,1,0,0,0,0
157,10762,0,0,0,1,0,0,0,1,0,0,0,0
158,10790,0,0,0,1,0,0,0,1,0,0,0,0
159,10837,0,0,0,1,0,0,0,1,0,0,0,0
160,10862,0,0,0,1,0,0,0,1,0,0,0,0
161,11100,0,0,0,1,0,0,0,1,0,0,0,0
162,11183,0,0,0,1,0,0,0,1,0,0,0,0
163,11236,0,0,0,1,0,0,0,1,0,0,0,0
164,11249,0,0,0,1,0,0,0,1,0,0,0,0
165,11372,0,0,0,1,0,0,0,1,0,0,0,0
166,11505,0,0,0,1,0,0,0,1,0,0,0,0
167,11509,0,0,0,1,0,0,0,1,0,0,0,0
168,11569,0,0,0,1,0,0,0,1,0,0,0,0
169,11580,0,0,0,1,0,0,0,1,0,0,0,0
170,11604,0,0,0,1,0,0,0,1,0,0,0,0
171,11694,0,0,0,1,0,0,0,1,0,0,0,0
172,11793,0,0,0,1,0,0,0,1,0,0,0,0
173,11905,0,0,0,1,0,0,0,1,0,0,0,0
174,11916,0,0,0,1,0,0,0,1,0,0,0,0
175,12101,0,0,0,1,0,0,0,1,0,0,0,0
176,12302,0,0,0,1,0,0,0,1,0,0,0,0
177,12482,0,0,0,1,0,0,0,1,0,0,0,0
178,12525,0,0,0,1,0,0,0,1,0,0,0,0
179,12533,0,0,0,1,0,0,0,1,0,0,0,0
180,12571,0,0,0,1,0,0,0,1,0,0,0,0
181,12647,0,0,0,1,0,0,0,1,0,0,0,0
182,12648,0,0,0,1,0,0,0,1,0,0,0,0
